;año,mes,73001,73031,73061,73081,73082,73083,73084,73141,73171,73172,73173,73174,73201,73211,73212,73214,73215,73221,73222,73301,73311,73321,73351,73352,73353,73361,73391,73411,73431,73432,73501,73502,73511,73541,73542,73551,73552,73554,73555,73561,73581,73584,73591,73592,73721,73741,73742,73743,73781,73782,73783,73784,73791,73811,73831,DUMMY
2004,8,31.04999924,48.45000076,0.108999997,91.26999664,3.687000036,2.286000013,0.152999997,,,0,1.139000058,73.65000153,19.95000076,,1.518000007,164.8000031,,,4.506000042,41.00999832,,60,,4.809999943,,21.65999985,36.70000076,3.312000036,,11.38000011,,30.63999939,258.2000122,,44.27000046,19.48999977,,,,,,,0.414000005,0.565999985,21.09000015,15.85999966,0.959999979,1.075000048,,,1.123999953,,87.33999634,7.53399992,679.0999756,-9999
2004,9,15.39000034,50.97000122,0.135000005,95.75,7.244999886,2.200000048,0.078000002,,,0,1.498999953,112.4000015,24.40999985,,5.118000031,216.3999939,2.729000092,6.171999931,1.526000023,53.59000015,,69.37999725,,1.25,,9.180000305,13.35999966,3.618000031,,4.374000072,,51.36999893,205.3999939,,66.90000153,30.40999985,,,,,,,1.972000003,1.488000035,29.32999992,28.12000084,4.854000092,3.282999992,5.369999886,4.513999939,2.006999969,,108.9000015,3.604000092,557.4000244,-9999
2004,10,8.161000252,61.66999817,0.101999998,79.30999756,4.077000141,2.200000048,0.451999992,,,1.113999963,0.501999974,112.6999969,20.5,,14.02000046,186.8999939,12.46000004,12.06000042,6.619999886,26.06999969,,36.52999878,,2.645999908,,3.361999989,4.573999882,1.14199996,,1.425999999,,37.61999893,98.36000061,,46.81000137,19.54000092,,,0.463999987,,,,5.717999935,4.100999832,13.21000004,18.87000084,16.04000092,14.56999969,22.59000015,13.40999985,1.710000038,,80.86000061,5.111999989,435.1000061,-9999
2004,11,8.550999641,76.70999908,0.103,100.3000031,4.011000156,2.200000048,0.603999972,,,2.746000051,0.31099999,142.8999939,20.64999962,,16.77000046,230.5,15.27000046,18,8.38599968,17.86000061,,24.5,,3.316999912,,1.840000033,3.559999943,0.625999987,,0.666000009,,36.59999847,88.68000031,,54.75,17.75,,,1.187999964,,,,7.859000206,4.400000095,12.52000046,16.53000069,21.97999954,18.84000015,25.97999954,16.61000061,2.878000021,,78.01000214,5.074999809,328.8999939,-9999
2004,12,8.524999619,54.04999924,0.101000004,113.1999969,2.384000063,2.273999929,0.690999985,,,13.85000038,0.245000005,103,18.27000046,,20.64999962,202.6000061,19.47999954,18.61000061,8.949999809,7.086999893,,2.700000048,,1.791000009,,0.851000011,2.766000032,,,0.370000005,,,26.52000046,,29.22999954,22.60000038,,,2.23300004,,,,8.416000366,5.272999763,4.710999966,11.65999985,25.42000008,22.32999992,29.09000015,18.92000008,2.546000004,,49.06999969,4.406000137,226,-9999
2005,1,47.86999893,68.66000366,0.100000001,121,3.881000042,7.223999977,0.958000004,,,18.98999977,0.213,31.30999947,15.64999962,,20.62999916,140.1999969,19.59000015,20.72999954,8.56000042,4.361999989,,1.63499999,,0.980000019,,0.368000001,1.256000042,,,0.277999997,,,10.89999962,,14.22999954,,,,2.355999947,,,,8.916000366,5.019000053,2.348999977,8.017000198,25.09000015,23.84000015,29.48999977,21.70000076,2.802000046,,31.94000053,4.113999844,142.6000061,-9999
2005,2,44.38000107,59.65000153,0.100000001,108.4000015,0.263999999,3.346999884,0.931999981,,,19,0.186000004,11.10000038,13.64999962,,15.80000019,113.8000031,15.21000004,15.26000023,7.717999935,2.720999956,,0.672999978,,1.5,,0.207000002,1.072000027,0.118000001,,0.145999998,,,10.64999962,,6.527999878,,,,2.250999928,,,,7.989999771,3.411000013,2.160000086,4.289999962,19.81999969,20.44000053,21.62000084,15.81999969,1.195000052,,28.40999985,4.270999908,154.5,-9999
2005,3,32.95999908,44.27000046,0.100000001,88.37999725,0.479000002,1.48300004,0.82099998,,,16.57999992,0.199000001,8.199999809,11.68000031,,12.68000031,97.30999756,11.80000019,10,5.111000061,14.81999969,,1.304999948,,0.764999986,,0.221000001,0.970000029,0.138999999,,0.136999995,,,14.26000023,,4.374000072,,,,1.922000051,,,30.79999924,4.979000092,2.819000006,2.64199996,2.220999956,11.84000015,13.77000046,13.68999958,8.51099968,0.88499999,,38.56999969,6.107999802,228,-9999
2005,4,37.36000061,49.50999832,0.100000001,71.87999725,0.351000011,1.41900003,0.458000004,,,9.168000221,0.178000003,10.56999969,10.84000015,,11.56999969,81.15000153,10.69999981,9.350000381,4.132999897,14,,1.450999975,,0.549000025,,0.358999997,0.460999995,0.137999997,,0.079999998,,,13.05000019,,2.678999901,,,,1.098999977,,,,3.381000042,1.972000003,2.042000055,0.828999996,,1.835000038,,2.095999956,0.425999999,,32.61000061,5.092999935,261.2999878,-9999
2005,5,,56.65000153,0.230000004,82.37000275,6.151000023,5.93900013,0.476999998,,,1.835000038,8.656999588,75.86000061,19.31999969,,4.412000179,151.3999939,3.901000023,1.526000023,0.588,58.84000015,,58.84999847,,3.535000086,,7.741000175,,1.148000002,,1.269999981,,53.5,167.6999969,,57.27999878,36.13999939,,,0.179000005,,,30.79999924,1.383999944,0.574000001,24.55999947,21.94000053,,1.889999986,1.222000003,0.917999983,1.31400001,,128.3000031,5.544000149,596.2000122,-9999
2005,6,7.179999828,57.77000046,0.305000007,86.62000275,17.34000015,30.69000053,0.077,,,0,48.77999878,183.5,32.58000183,,1.83099997,242.1000061,0.545000017,0,0.006,111.5,,155.8000031,,14.92000008,,51.02000046,,,,19.76000023,,123.3000031,607,,149.6999969,79.80000305,,,0.048,,,30.79999924,0.370999992,0.180999994,95.83000183,71.58999634,3.897000074,0.375999987,3.08100009,2.638000011,4.532000065,,368.7999878,20.77000046,1672,-9999
2005,7,7.776000023,44.72999954,0.216000006,96.22000122,11.25,10.86999989,0.02,,,0,32.84999847,153.3999939,37.99000168,,1.89199996,212.8999939,0.605000019,0,0,102.9000015,,161.1999969,,11.52999973,,67.70999908,,,,26.57999992,,91.91000366,690.2999878,,164.6999969,46.93000031,,,0.011,,,30.79999924,0.143000007,0.131999999,59.68000031,42.5,0.221000001,0.575999975,0.115999997,9.234000206,2.114000082,,192.8000031,11.52000046,1582,-9999
2005,8,8.595999718,64.58999634,0.379999995,112.8000031,18.46999931,21.70999908,0.071000002,,,0,67.61000061,224.8000031,47.22000122,,2.187000036,259.2000122,0.981999993,0,0.007,113.1999969,,163.5,,9.612999916,,45.22999954,,27.27000046,,29.12999916,,114.8000031,700,,232.5,72.81999969,,,0.024,,,30.79999924,0.342000008,0.092,89.45999908,70.83000183,0.44600001,0.211999997,0.131999999,9.347000122,,,298.7000122,18.90999985,1817,-9999
2005,9,7.324999809,48.18999863,0.126000002,115.9000015,12.10000038,1.289999962,0.072999999,,,0,3.467000008,133.5,35.56999969,,6.855999947,230.8999939,4.008999825,4.215000153,1.76699996,50.52999878,,71.87000275,,1.995000005,,17.48999977,35.65999985,13.25,,13.77999973,,42.40999985,280.6000061,,89.48000336,25.5,,,0.029999999,,,30.79999924,1.498999953,1.077999949,44.31000137,30.20000076,3.523000002,1.425999999,2.546999931,9.277999878,1.019999981,,128.5,6.421999931,885.4000244,-9999
2005,10,7.659999847,77.70999908,0.546000004,127.3000031,5.949999809,12.28999996,0.916000009,,,3.273999929,10.25,183.1999969,30.79999924,,14.39000034,264.5,13.31000042,14.96000004,5.164000034,23.19000053,,17.87999916,,2.289000034,,3.914000034,5.947999954,2.219000101,,3.262000084,,30.36000061,73.26999664,,52.93000031,16.40999985,,,0.823000014,,,0.082999997,6.274000168,4.573999882,20.12000084,19.81999969,18.46999931,14.14000034,20.55999947,13.67000008,1.396000028,,79.79000092,,497,-9999
2005,11,8.149000168,136.6000061,28.26000023,123.5,6.176000118,142,1.49000001,,,14.10000038,89.73999786,288.7000122,37.15000153,,20.25,260.3999939,19.37999916,15.89000034,7.059000015,24.21999931,,3.632999897,,2.486000061,,1.708999991,2.644000053,1.31099999,,1.879999995,,33.25999832,46.75,,76.51999664,28.25,,,2.572999954,,,30.79999924,7.56400013,5.123000145,22.70999908,20.61000061,24.05999947,20.01000023,27.75,14.68000031,2.101999998,,87.41999817,5.15500021,563.5999756,-9999
2005,12,5.639999866,126.5,76.30000305,117.6999969,4.129000187,,1.649000049,,,15.88000011,67.54000092,251,36.11999893,,21.20999908,250.8999939,20.15999985,18.75,9.699999809,13.03999996,,1.674999952,,1.965999961,,1.059999943,2.651000023,0.686999977,,1.018000007,,26.67000008,36.06999969,,58.34000015,27.05999947,,,2.545000076,,,30.79999924,7.267000198,4.354000092,14.73999977,16.25,27.18000031,21.07999992,31.06999969,17.97999954,2.519999981,,69.90000153,3.91899991,572.2000122,-9999
2006,1,0.101999998,103.6999969,70.47000122,142.8999939,1.970999956,,1.713999987,,,18.94000053,8.81499958,142.8999939,29.95999908,,23.30999947,241.6999969,22.51000023,20.37999916,10.55000019,10.27999973,,1.728999972,,1.172999978,,0.64200002,1.539999962,0.254000008,,0.980000019,,18.52000046,14.97999954,,30.96999931,23.65999985,,,2.519999981,,,30.79999924,8.762000084,5.290999889,6.949999809,12.05000019,26.32999992,21.29000092,30.37999916,20.20999908,2.285000086,,40.24000168,4.198999882,371.6000061,-9999
