#,,Q afluente invernada,Pp 2850,Pp 2550,Pp 2250,Pp 1950,Pp 1548,T 2850,T 2550,T 2250,T 1950,T 1548
1982,1,41.1,11.50,11.50,11.60,11.60,11.70,10.78,11.65,12.53,13.41,14.58
1982,2,32.8,5.30,5.40,5.40,5.40,5.50,12.55,13.23,13.91,14.59,15.49
1982,3,29,48.70,48.90,49.20,49.40,49.70,10.99,11.70,12.41,13.12,14.07
1982,4,25.5,59.30,59.40,59.60,59.80,60.10,7.39,8.28,9.17,10.07,11.27
1982,5,25.4,634.40,636.30,638.30,640.30,642.90,1.81,2.88,3.96,5.04,6.48
1982,6,28.4,953.00,956.00,958.90,961.90,965.80,-1.54,-0.43,0.68,1.79,3.28
1982,7,31.6,781.10,783.50,785.90,788.30,791.50,-3.52,-2.16,-0.79,0.58,2.41
1982,8,28.6,391.80,393.00,394.20,395.40,397.10,-2.13,-0.77,0.58,1.93,3.75
1982,9,36.6,585.80,587.60,589.40,591.20,593.70,-0.20,1.29,2.79,4.28,6.29
1982,10,40.8,326.00,327.00,328.00,329.10,330.40,3.18,4.31,5.44,6.58,8.10
1982,11,70.3,36.90,37.00,37.10,37.30,37.40,5.24,6.56,7.87,9.19,10.95
1982,12,134,0.10,0.10,0.10,0.10,0.10,10.52,11.68,12.84,13.99,15.55
1983,1,131.6,36.80,36.90,37.00,37.20,37.30,12.86,13.91,14.95,16.00,17.40
1983,2,91.8,15.10,15.10,15.20,15.20,15.30,13.67,14.40,15.14,15.88,16.87
1983,3,61.3,1.30,1.30,1.30,1.30,1.30,11.22,11.95,12.67,13.40,14.37
1983,4,44.1,64.80,65.30,65.80,66.30,67.00,7.19,8.06,8.93,9.79,10.96
1983,5,34.8,210.30,211.90,213.60,215.20,217.50,1.59,2.53,3.48,4.42,5.69
1983,6,29.8,384.90,388.00,391.00,394.00,398.10,-1.26,-0.35,0.55,1.46,2.68
1983,7,27.4,463.30,466.90,470.60,474.20,479.10,-2.45,-1.50,-0.55,0.40,1.68
1983,8,25.5,232.60,234.40,236.30,238.10,240.60,-1.97,-0.72,0.54,1.79,3.47
1983,9,25.1,104.80,105.60,106.40,107.20,108.30,-0.17,1.10,2.37,3.64,5.34
1983,10,39.8,16.70,16.80,16.90,17.00,17.20,3.58,4.86,6.14,7.41,9.13
1983,11,74.3,0.50,0.50,0.50,0.50,0.50,6.45,8.07,9.69,11.31,13.48
1983,12,63.9,0.50,0.50,0.50,0.50,0.50,11.29,12.54,13.78,15.03,16.70
