," ""CCCMA """"CGCM3"""" a"""," ""CCCMA """"CGCM3"""" b"""," ""GFDL """"CM2"""" a"""," ""GFDL """"CM2"""" b"""," ""GISS """"AOM"""" a"""," ""GISS """"AOM"""" b"""," ""historico mas futuro"""," ""MPI """"ECHAM5"""" a"""," ""MPI """"ECHAM5"""" b"""," ""MRI """"CGCM2.3.2."""" a"""," ""MRI """"CGCM2.3.2."""" b"""," ""NIES """"MIRO3.2."""" a"""," ""NIES """"MIRO3.2."""" b"""," ""UKMO """"HADCM3"""" a"""," ""UKMO """"HADCM3"""" b"""
Nov-27,3.68112,3.67548,3.74551,3.55018,2.73425,3.84056,1.32009,4.58916,4.82749,4.64696,2.80164,3.25827,4.07673,3.7108,4.33105
Dec-27,4.29873,2.49334,3.92009,2.5938,2.13297,2.8489,1.31938,5.02209,4.13377,4.20426,3.15649,3.0182,3.03934,3.29819,3.16081
Jan-28,2.61438,1.74713,2.89366,1.69486,1.53074,1.94485,2.49276,3.5073,2.78627,2.64259,2.00888,2.24063,2.29868,2.19155,2.37036
Feb-28,1.89816,1.4285,1.96976,1.3285,1.26046,1.44097,1.76604,2.42363,1.95498,1.83865,1.53763,1.56205,1.67099,1.59288,1.70662
Mar-28,1.36907,0.968873,1.2308,0.892617,0.928273,1.20887,1.13675,1.54936,1.23839,1.17499,1.11554,1.10517,1.12922,1.06068,1.08845
Apr-28,1.07459,0.77567,1.05302,0.983623,0.950985,1.06675,0.946775,1.42356,0.954231,1.60293,0.87329,1.57315,0.924569,1.33411,1.0004
May-28,1.51323,0.865593,1.01238,0.894602,1.01382,1.7648,1.33411,1.46984,0.929982,3.34042,0.82279,1.9043,1.00446,1.7888,1.74377
Jun-28,1.84752,2.15803,1.10574,1.35582,1.00594,1.61939,1.38081,1.4478,1.23842,3.85345,1.87371,2.70023,1.57411,2.41304,2.09781
Jul-28,2.4322,1.95331,0.974346,1.28986,1.38999,2.2386,1.20794,2.14001,1.47804,3.81963,1.87018,2.70575,1.88131,2.64955,2.60622
Aug-28,1.68676,1.70633,1.12208,1.59341,1.99178,1.72767,1.0609,1.71112,1.2392,2.56578,1.45296,2.66579,1.96547,2.25803,2.30816
Sep-28,1.56484,1.39895,1.05595,1.85836,2.32361,1.56531,1.09986,1.87708,1.18812,2.42453,1.29677,2.49121,1.7387,2.03991,2.40156
