Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2029-12-01,325.697,630.5,354.194,275.719,490.153,657.84,387.17,766.296,346.369,406.794,517.583,467.127,621.078,532.847,716.411
2030-01-01,287.97,639.485,291.993,277.99,422.448,571.661,299.05,639.485,152.803,265.64,487.929,301.006,520.747,526.103,443.117
2030-02-01,163.293,584.935,206.151,231.201,364.075,466.603,204.576,539.585,245.346,193.122,455.857,193.69,408.662,341.02,345.334
2030-03-01,279.45,279.744,132.512,135.477,211.058,229.836,140.16,255.123,100.679,223.636,243.99,216.685,201.511,212.589,207.784
2030-04-01,100.942,202.24,222.777,202.721,217.731,204.296,207.715,208.55,217.577,207.446,213.248,174.096,172.318,198.957,183.895
2030-05-01,142.637,257.784,100.394,292.297,210.923,194.307,97.3841,301.409,331.728,140.137,170.295,148.362,278.05,268.709,315.443
2030-06-01,157.337,298.345,190.719,491.184,317.989,466.49,255.776,362.089,464.309,387.741,257.639,257.331,295.065,314.561,420.413
2030-07-01,320.31,274.372,268.224,286.711,272.924,444.473,232.293,471.115,549.192,347.863,576.52,281.932,430.59,310.157,439.402
2030-08-01,780.902,351.401,292.095,307.304,514.8,323.328,340.139,472.157,585.669,342.122,466.552,318.49,741.459,555.501,453.602
2030-09-01,497.055,465.861,311.743,310.174,469.552,546.904,339.562,416.265,609.688,309.324,571.916,328.8,477.31,585.14,423.573
2030-10-01,331.088,373.429,300.013,444.081,388.989,424.096,305.463,385.689,427.241,289.137,441.525,333.468,461.721,419.077,400.359
2030-11-01,414.569,359.078,319.162,424.615,417.748,505.763,349.374,385.166,608.574,324.741,457.73,434.749,419.503,445.772,418.345
2030-12-01,686.401,643.628,453.933,797.031,481.513,771.279,414.681,540.405,736.693,549.168,724.421,677.776,575.65,563.471,493.214
2031-01-01,558.094,579.944,322.741,739.601,383.305,554.548,322.247,420.993,558.178,626.701,609.435,482.477,612.688,423.201,425.85
2031-02-01,492.01,467.978,228.386,639.893,283.088,393.911,265.141,306.14,418.815,491.887,452.152,314.768,386.955,323.943,287.288
2031-03-01,263.67,225.772,140.125,313.52,175.978,220.567,153.66,187.746,214.7,247.858,221.153,193.261,198.685,184.62,180.185
2031-04-01,191.065,193.316,210.456,217.515,251.679,198.329,240.262,261.265,170.203,234.369,190.992,302.304,284.737,266.297,265.827
2031-05-01,300.062,309.974,95.0083,319.777,143.152,270.196,101.61,195.921,236.063,194.846,271.978,172.472,180.145,212.533,167.905
2031-06-01,262.04,379.94,398.706,437.671,214.142,230.589,174.752,608.98,240.664,617.811,276.486,256.443,805.257,277.913,370.184
2031-07-01,280.659,411.702,333.267,362.338,208.927,451.081,165.928,410.386,438.103,402.777,280.205,213.223,406.262,331.244,272.601
2031-08-01,599.187,351.258,313.695,279.09,313.149,578.415,263.551,677.851,579.688,495.684,609.326,277.737,499.603,553.818,359.442
