;año,mes,Ojos de Agua,Cipreses,Isla,Colbún,Machicura,San Ignacio,Pehuenche,Curillinque,Loma Alta
2003,10,,26.98,95.32,164.76,0.00,88.47,412.36,107.49,115.68
2003,11,,27.40,93.50,163.21,0.00,75.11,427.19,105.19,112.78
2003,12,,50.60,91.18,202.80,0.00,88.11,312.65,107.27,115.18
2004,1,,47.16,96.30,174.89,0.00,63.31,296.51,105.53,111.58
2004,2,,50.14,89.72,131.05,0.00,40.48,209.98,98.58,107.88
2004,3,,45.13,90.65,112.69,0.00,45.52,208.80,99.50,108.17
2004,4,,28.72,81.44,277.83,0.00,171.66,325.04,87.28,93.86
2004,5,,36.02,83.85,336.83,0.00,221.43,241.82,79.67,99.11
2004,6,,16.90,75.20,212.85,0.00,182.43,315.47,80.54,86.14
2004,7,,15.40,79.33,201.68,0.00,185.33,360.97,86.16,92.66
2004,8,,26.24,82.07,235.04,0.00,206.18,350.97,92.61,98.68
2004,9,,23.50,78.86,157.83,0.00,125.67,451.71,90.30,85.32
2004,10,,2.87,48.45,257.66,0.00,156.68,401.65,68.67,85.95
2004,11,,0.68,47.95,160.70,0.00,56.30,487.38,80.58,91.22
2004,12,,39.65,89.58,194.47,0.00,81.72,444.48,103.75,113.42
2005,1,,51.33,97.37,163.46,0.00,52.77,290.38,109.42,117.24
2005,2,,47.83,86.87,163.29,0.00,64.96,218.26,99.79,109.02
2005,3,,48.64,92.40,214.42,0.00,144.76,218.10,103.58,113.08
2005,4,,24.34,78.46,258.07,0.00,207.04,167.03,85.21,91.59
2005,5,,16.30,77.07,229.64,0.00,211.01,331.04,83.43,88.71
2005,6,,0.09,57.07,294.66,0.00,202.43,515.19,60.06,52.59
2005,7,,11.29,71.24,375.16,0.00,219.46,466.44,74.10,78.13
2005,8,,3.67,79.46,395.47,0.00,225.67,576.70,76.60,84.69
2005,9,,31.60,57.08,375.79,0.00,214.23,506.36,90.54,98.08
2005,10,,37.88,89.48,407.89,0.00,223.22,594.94,112.22,121.86
2005,11,,36.53,94.17,389.17,0.00,217.48,561.23,105.51,113.87
2005,12,,37.82,95.88,401.82,0.00,223.99,568.64,106.16,115.03
2006,1,,38.22,99.70,394.44,0.00,213.61,553.50,110.69,118.64
2006,2,,34.61,86.90,162.38,0.00,59.67,333.68,88.79,94.23
2006,3,,38.18,78.89,260.92,0.00,165.71,231.10,94.58,97.65
2006,4,,53.17,93.84,291.70,0.00,203.50,270.97,106.96,114.66
2006,5,,54.06,96.58,344.61,0.00,220.94,322.43,111.42,118.80
2006,6,,22.80,73.86,335.50,0.00,214.70,535.77,93.35,96.58
2006,7,,18.64,86.36,336.57,0.00,201.69,551.53,95.99,99.61
2006,8,,39.54,88.44,401.11,0.00,225.57,502.20,98.36,103.66
2006,9,,40.61,87.43,388.16,0.00,218.11,501.06,0.12,101.96
2006,10,,39.18,95.79,404.14,0.00,225.41,600.98,0.00,64.64
2006,11,,51.81,96.40,404.42,0.00,216.86,628.96,50.28,50.26
2006,12,,55.86,98.87,417.62,0.00,225.01,629.24,105.64,114.70
2007,1,,55.27,100.94,351.30,0.00,195.57,481.81,115.07,125.68
2007,2,,50.41,87.31,215.08,0.00,117.48,313.17,102.78,112.22
2007,3,,55.55,97.84,300.87,0.00,194.28,262.62,114.97,125.72
2007,4,,49.54,93.32,298.02,0.00,204.75,240.08,108.57,118.57
2007,5,,50.97,96.00,226.90,0.00,185.59,236.39,111.08,119.26
2007,6,,36.27,91.80,144.37,0.00,137.45,230.81,103.44,111.23
2007,7,,19.46,78.04,182.32,0.00,156.55,300.08,86.85,93.93
2007,8,,16.42,70.85,99.86,0.00,92.94,235.89,80.94,89.43
2007,9,,17.53,70.83,100.71,0.00,70.17,316.38,86.36,96.91
2007,10,,25.52,57.86,211.97,0.00,113.81,484.02,93.15,99.80
2007,11,,29.81,98.48,251.47,0.00,146.02,519.63,105.83,119.65
2007,12,,48.79,98.88,186.21,0.00,73.66,330.26,109.59,119.57
2008,1,,50.44,101.98,119.36,0.00,12.89,278.69,114.30,122.72
2008,2,,29.49,92.26,96.98,0.00,12.43,240.44,102.98,112.43
2008,3,,16.29,75.58,78.26,0.00,23.77,168.35,83.15,84.80
2008,4,,13.12,55.82,207.15,0.00,173.49,119.68,58.80,57.60
2008,5,,7.39,49.88,238.60,0.00,169.62,366.55,45.01,43.95
2008,6,,31.36,78.82,404.76,0.00,224.46,452.21,72.87,73.74
2008,7,,51.49,89.98,404.70,0.00,229.33,411.66,99.37,103.79
2008,8,,14.12,63.49,401.85,0.00,231.65,417.78,68.90,69.32
2008,9,,32.19,77.93,347.93,0.00,209.81,414.47,91.50,96.77
