Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2027-05-01,109.7349375,112.3322777,197.3548836,460.7290073,293.8589359,593.8827501,217.3052658,236.7364632,112.7774812,258.4317962,130.8154893,208.1764254,218.0914985,162.0932523
2027-06-01,219.03327,176.0576236,394.5095127,207.4694464,630.9557437,273.9405497,579.5558249,466.0501016,222.6600507,603.091711,172.2784006,387.529674,234.2594146,367.9066034
2027-07-01,305.5259906,167.8214275,201.6866439,200.1587989,247.5246023,258.7471267,307.0986042,307.1299094,252.7806589,190.3951364,175.5627211,179.1013786,252.2254877,343.5108166
2027-08-01,231.522939,430.6347387,213.4762929,154.8147535,198.7064238,406.2532061,244.9807554,245.5285762,186.0574769,191.6919182,347.8052842,163.2239823,189.6857809,385.4531115
2027-09-01,210.2046977,157.6227002,230.5957419,168.4970212,203.4801026,338.3343735,253.8629469,278.8603448,210.972064,188.3628306,157.6060002,186.1157881,274.4202561,303.4215264
2027-10-01,261.8058939,257.5226836,251.889937,220.3363425,242.0170407,273.6589706,346.2344322,370.9440719,248.0332279,261.2151396,215.1657361,241.6288911,266.2704094,275.7506346
2027-11-01,362.9383906,352.5326144,352.3986862,360.326539,325.2346788,381.4496475,379.9978152,417.1587235,392.2239363,323.1880306,349.477773,376.7356494,367.0062715,369.9925606
2027-12-01,404.0349189,305.978672,370.5301385,320.5174311,304.9484506,366.1510945,446.5089796,406.9992104,380.1826242,354.3871081,329.8530276,331.1877736,383.7551103,378.350629
2028-01-01,342.8826896,211.3933269,347.0424745,274.6852731,273.8998575,314.4095433,406.5969864,400.2678319,328.475364,308.0734476,275.7304193,310.4256131,321.9973022,329.1206262
2028-02-01,315.0110592,195.7312485,315.6791509,253.3505938,225.0198041,284.5934837,414.8927928,326.9280948,297.8405165,288.5000184,215.7330365,279.6473429,297.3352558,307.1789013
2028-03-01,213.7259026,122.0280476,193.9938422,115.5013446,127.6666119,201.7937727,276.3153979,198.0864225,181.8332202,190.6601772,139.6198697,142.9430467,177.5504383,180.4790503
2028-04-01,159.5121146,105.3436565,158.2772219,161.3953131,152.6956433,418.8265372,234.1503857,148.090707,341.1480814,321.3120636,277.5286751,126.2471739,529.3733554,450.5347016
2028-05-01,199.0189796,117.9216121,316.8905936,139.9576117,164.1488481,225.6613105,256.4800289,510.4534628,309.7206828,109.0451657,216.9275565,128.0452625,226.5009849,224.7701852
2028-06-01,615.1098332,456.4954389,150.4664082,199.3546277,138.6250176,420.6053032,283.6119301,193.4323393,337.0824419,411.6128027,287.4331237,400.4598853,276.4325959,491.175911
2028-07-01,276.6551402,231.3420554,208.6715039,360.0202469,399.0268512,241.3705892,524.9704701,408.0697796,508.6427838,334.4705812,293.8622801,201.0821462,262.2780283,296.3660085
