#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1987,8,30.5,30.1,29.7,29.3,28.9,28.5,28.1,27.7
1987,9,486.8,480.4,474.1,467.7,461.4,455,448.6,442.3
1987,10,35.1,34.6,34.2,33.7,33.3,32.8,32.3,31.9
1987,11,69.3,68.4,67.5,66.5,65.6,64.7,63.8,62.9
1987,12,0,0,0,0,0,0,0,0
1988,1,0,0,0,0,0,0,0,0
1988,2,8.6,8.5,8.3,8.2,8.1,8,7.9,7.8
1988,3,3.3,3.2,3.2,3.1,3.1,3,3,3
1988,4,74.5,72.8,71.1,69.5,67.8,66.1,64.4,62.7
1988,5,244.4,238.9,233.4,227.9,222.4,216.9,211.3,205.8
1988,6,822.2,803.6,785.1,766.5,747.9,729.4,710.8,692.3
1988,7,64,62.5,61.1,59.6,58.2,56.7,55.3,53.9
1988,8,154.1,150.6,147.1,143.7,140.2,136.7,133.2,129.7
1988,9,34.3,33.5,32.7,32,31.2,30.4,29.6,28.9
1988,10,234.8,229.5,224.2,218.9,213.6,208.3,203,197.7
1988,11,118.7,116,113.3,110.7,108,105.3,102.6,99.9
1988,12,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1989,1,65.6,64.1,62.6,61.2,59.7,58.2,56.7,55.2
1989,2,12.3,12,11.7,11.4,11.2,10.9,10.6,10.3
1989,3,484.9,473.9,463,452,441.1,430.1,419.2,408.3
1989,4,290.6,282.7,274.8,266.9,259.1,251.2,243.3,235.4
1989,5,423.7,412.2,400.7,389.2,377.7,366.2,354.7,343.2
1989,6,334.5,325.5,316.4,307.3,298.2,289.1,280,271
1989,7,313.2,304.7,296.2,287.7,279.2,270.7,262.2,253.7
1989,8,134.5,130.8,127.2,123.5,119.9,116.2,112.6,108.9
1989,9,165.9,161.4,156.9,152.4,147.9,143.4,138.9,134.4
1989,10,109.3,106.4,103.4,100.4,97.5,94.5,91.5,88.6
1989,11,121,117.7,114.4,111.1,107.8,104.5,101.2,98
1989,12,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1990,1,0,0,0,0,0,0,0,0
1990,2,12.8,12.4,12.1,11.7,11.4,11,10.7,10.4
1990,3,14.4,14,13.6,13.2,12.8,12.4,12,11.6
1990,4,117.5,115.3,113.2,111.1,108.9,106.8,104.7,102.6
1990,5,179.4,176.1,172.9,169.6,166.3,163.1,159.8,156.6
