#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1988,5,426,414.3,402.7,391,379.4,367.7,356,344.4
1988,6,337.1,327.9,318.7,309.5,300.2,291,281.8,272.6
1988,7,313.2,304.7,296.1,287.5,278.9,270.4,261.8,253.2
1988,8,135,131.3,127.6,123.9,120.2,116.5,112.8,109.2
1988,9,142.8,138.9,135,131.1,127.2,123.3,119.4,115.5
1988,10,109.7,106.7,103.7,100.7,97.7,94.7,91.7,88.7
1988,11,121,117.7,114.4,111.1,107.8,104.5,101.1,97.8
1988,12,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
1989,1,0,0,0,0,0,0,0,0
1989,2,12.9,12.5,12.2,11.8,11.5,11.1,10.8,10.4
1989,3,14.4,14,13.6,13.2,12.8,12.4,12,11.6
1989,4,117,114.9,112.8,110.6,108.5,106.4,104.3,102.1
1989,5,179,175.7,172.5,169.2,166,162.7,159.5,156.2
1989,6,1216.2,1194.1,1172,1150,1127.9,1105.8,1083.7,1061.7
1989,7,493.4,484.5,475.5,466.6,457.6,448.6,439.7,430.7
1989,8,229.5,225.3,221.1,217,212.8,208.6,204.5,200.3
1989,9,412.2,404.7,397.3,389.8,382.3,374.8,367.3,359.8
1989,10,131,128.6,126.2,123.8,121.5,119.1,116.7,114.3
1989,11,26.7,26.2,25.7,25.2,24.7,24.3,23.8,23.3
1989,12,21.2,20.8,20.4,20,19.7,19.3,18.9,18.5
1990,1,3.4,3.3,3.2,3.2,3.1,3.1,3,2.9
1990,2,10.5,10.3,10.1,9.9,9.7,9.5,9.3,9.1
1990,3,32.8,32.2,31.6,31,30.4,29.8,29.2,28.6
1990,4,402,393.9,385.8,377.8,369.7,361.6,353.5,345.4
1990,5,401.9,393.8,385.7,377.6,369.5,361.5,353.4,345.3
1990,6,440.3,431.5,422.6,413.8,404.9,396.1,387.2,378.4
1990,7,377.6,370,362.4,354.8,347.2,339.6,332,324.5
1990,8,111.8,109.5,107.3,105,102.8,100.6,98.3,96.1
1990,9,403.5,395.4,387.3,379.1,371,362.9,354.8,346.7
1990,10,325.3,318.8,312.2,305.7,299.1,292.6,286.1,279.5
1990,11,67.6,66.3,64.9,63.5,62.2,60.8,59.5,58.1
1990,12,0,0,0,0,0,0,0,0
1991,1,0,0,0,0,0,0,0,0
1991,2,0,0,0,0,0,0,0,0
1991,3,63.7,62.4,61.2,59.9,58.6,57.3,56,54.7
1991,4,320.9,315.6,310.4,305.1,299.9,294.6,289.4,284.1
1991,5,623.8,613.6,603.4,593.2,583,572.8,562.5,552.3
1991,6,677,665.9,654.8,643.7,632.6,621.6,610.5,599.4
1991,7,1124.8,1106.3,1087.9,1069.5,1051.1,1032.7,1014.2,995.8
1991,8,136.8,134.6,132.3,130.1,127.9,125.6,123.4,121.1
1991,9,105.3,103.6,101.8,100.1,98.4,96.7,94.9,93.2
1991,10,42.2,41.5,40.8,40.1,39.4,38.7,38.1,37.4
1991,11,25.2,24.8,24.4,24,23.5,23.1,22.7,22.3
1991,12,97.7,96.1,94.5,92.9,91.3,89.7,88.1,86.5
1992,1,0,0,0,0,0,0,0,0
1992,2,16.2,16,15.7,15.4,15.2,14.9,14.6,14.4
1992,3,14,13.8,13.6,13.3,13.1,12.9,12.6,12.4
1992,4,70.5,68.7,66.9,65,63.2,61.4,59.5,57.7
1992,5,272.3,265.2,258.1,251.1,244,236.9,229.8,222.7
1992,6,152.4,148.4,144.4,140.5,136.5,132.6,128.6,124.6
1992,7,284.9,277.5,270.1,262.6,255.2,247.8,240.4,233
1992,8,310.6,302.5,294.4,286.3,278.2,270.1,262.1,254
1992,9,98.5,96,93.4,90.8,88.3,85.7,83.2,80.6
1992,10,486.2,473.5,460.9,448.2,435.6,422.9,410.2,397.6
1992,11,285.9,278.5,271,263.6,256.1,248.7,241.3,233.8
1992,12,24.1,23.5,22.8,22.2,21.6,21,20.3,19.7
1993,1,12.9,12.6,12.2,11.9,11.6,11.2,10.9,10.6
1993,2,0,0,0,0,0,0,0,0
1993,3,5.1,5,4.9,4.7,4.6,4.5,4.3,4.2
1993,4,6.9,6.8,6.7,6.6,6.5,6.3,6.2,6.1
1993,5,1008.3,991.6,974.9,958.2,941.5,924.8,908.1,891.4
1993,6,955.3,939.5,923.6,907.8,892,876.2,860.3,844.5
