#,,Banda 1-FC,Banda 2-FC,Banda 3-FC,Banda 4-FC,Banda 5-FC,Banda 6-FC,Banda 7-FC,Banda 8-FC
#,Banda,3460.5,3150.5,2840.5,2530.5,2220.5,1910.5,1600.5,1290.5
#,Mes,T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC]
1990,5,-0.358,0.681,1.720,2.759,3.797,4.836,5.875,6.914
1990,6,-4.649,-3.245,-1.842,-0.439,0.964,2.368,3.771,5.174
1990,7,-7.552,-5.859,-4.167,-2.475,-0.783,0.909,2.601,4.293
1990,8,-2.590,-1.848,-1.106,-0.364,0.378,1.120,1.862,2.604
1990,9,-2.141,-1.122,-0.104,0.915,1.934,2.952,3.971,4.989
1990,10,0.740,1.733,2.727,3.721,4.714,5.708,6.701,7.695
1990,11,2.254,3.450,4.646,5.842,7.038,8.234,9.430,10.626
1990,12,7.114,8.158,9.202,10.247,11.291,12.335,13.379,14.423
1991,1,8.876,9.768,10.660,11.553,12.445,13.337,14.229,15.122
1991,2,11.538,12.261,12.985,13.708,14.432,15.155,15.879,16.602
1991,3,9.919,10.681,11.442,12.204,12.966,13.728,14.489,15.251
1991,4,5.748,6.700,7.652,8.605,9.557,10.509,11.461,12.413
1991,5,-0.354,0.673,1.699,2.726,3.753,4.779,5.806,6.833
1991,6,-3.669,-2.561,-1.454,-0.346,0.761,1.869,2.976,4.083
1991,7,-3.063,-2.377,-1.690,-1.004,-0.318,0.369,1.055,1.741
1991,8,-2.882,-2.057,-1.231,-0.405,0.421,1.246,2.072,2.898
1991,9,-2.717,-1.424,-0.132,1.161,2.454,3.746,5.039,6.331
1991,10,1.039,2.434,3.829,5.224,6.619,8.014,9.409,10.804
1991,11,2.568,3.931,5.294,6.657,8.020,9.382,10.745,12.108
1991,12,7.276,8.344,9.412,10.480,11.548,12.616,13.684,14.752
1992,1,9.687,10.661,11.635,12.609,13.583,14.557,15.530,16.504
1992,2,10.917,11.601,12.286,12.970,13.655,14.339,15.024,15.708
1992,3,9.813,10.567,11.320,12.074,12.828,13.581,14.335,15.088
1992,4,5.247,6.116,6.985,7.854,8.723,9.592,10.461,11.330
1992,5,-0.351,0.667,1.686,2.705,3.723,4.742,5.761,6.779
1992,6,-2.514,-1.755,-0.996,-0.237,0.522,1.281,2.040,2.799
1992,7,-4.545,-3.527,-2.508,-1.490,-0.471,0.547,1.565,2.584
1992,8,-2.505,-1.787,-1.070,-0.352,0.366,1.083,1.801,2.518
1992,9,-2.465,-1.292,-0.119,1.053,2.226,3.399,4.572,5.745
1992,10,0.901,2.112,3.322,4.533,5.743,6.954,8.164,9.375
1992,11,2.131,3.261,4.392,5.522,6.653,7.783,8.914,10.044
1992,12,7.579,8.691,9.803,10.916,12.028,13.141,14.253,15.365
1993,1,9.168,10.090,11.012,11.934,12.855,13.777,14.699,15.621
1993,2,11.913,12.660,13.407,14.154,14.901,15.648,16.395,17.142
1993,3,8.543,9.199,9.855,10.511,11.167,11.823,12.479,13.135
1993,4,4.618,5.383,6.148,6.913,7.678,8.443,9.208,9.973
1993,5,-0.359,0.681,1.721,2.761,3.801,4.841,5.881,6.921
1993,6,-3.106,-2.168,-1.231,-0.293,0.644,1.582,2.519,3.457
1993,7,-3.846,-2.984,-2.122,-1.261,-0.399,0.463,1.324,2.186
1993,8,-1.251,-0.893,-0.534,-0.176,0.183,0.541,0.900,1.258
1993,9,-2.338,-1.225,-0.113,0.999,2.111,3.223,4.335,5.447
1993,10,0.813,1.906,2.999,4.091,5.184,6.277,7.369,8.462
1993,11,2.113,3.234,4.355,5.476,6.597,7.718,8.839,9.960
1993,12,6.468,7.417,8.366,9.316,10.265,11.214,12.164,13.113
1994,1,8.743,9.622,10.501,11.380,12.259,13.138,14.017,14.897
1994,2,11.043,11.736,12.428,13.121,13.813,14.505,15.198,15.890
1994,3,8.849,9.529,10.208,10.888,11.567,12.247,12.927,13.606
1994,4,4.969,5.792,6.615,7.438,8.261,9.084,9.907,10.730
1994,5,-0.397,0.754,1.904,3.055,4.205,5.355,6.506,7.656
1994,6,-3.381,-2.360,-1.340,-0.319,0.701,1.722,2.743,3.763
1994,7,-2.038,-1.581,-1.124,-0.668,-0.211,0.245,0.702,1.158
1994,8,-1.722,-1.229,-0.735,-0.242,0.251,0.745,1.238,1.732
1994,9,-2.278,-1.194,-0.110,0.974,2.057,3.141,4.225,5.309
1994,10,0.759,1.779,2.798,3.818,4.837,5.857,6.876,7.896
1994,11,2.435,3.728,5.020,6.312,7.604,8.896,10.189,11.481
1994,12,7.245,8.308,9.372,10.435,11.498,12.562,13.625,14.688
1995,1,9.128,10.046,10.963,11.881,12.799,13.716,14.634,15.552
1995,2,10.489,11.147,11.804,12.462,13.120,13.777,14.435,15.092
1995,3,9.232,9.941,10.650,11.359,12.068,12.777,13.486,14.195
1995,4,4.088,4.765,5.443,6.120,6.797,7.474,8.151,8.828
1995,5,-0.345,0.655,1.656,2.656,3.656,4.657,5.657,6.657
1995,6,-3.121,-2.179,-1.237,-0.295,0.647,1.590,2.532,3.474
1995,7,-4.722,-3.664,-2.606,-1.548,-0.490,0.568,1.626,2.684
1995,8,-4.216,-3.008,-1.800,-0.593,0.615,1.823,3.031,4.238
1995,9,-2.271,-1.190,-0.110,0.970,2.051,3.131,4.211,5.291
1995,10,0.785,1.840,2.894,3.949,5.003,6.058,7.113,8.167
1995,11,2.213,3.387,4.562,5.736,6.910,8.084,9.258,10.433
1995,12,6.295,7.219,8.143,9.067,9.991,10.915,11.839,12.763
1996,1,8.495,9.349,10.203,11.057,11.911,12.765,13.619,14.473
1996,2,10.234,10.875,11.517,12.159,12.800,13.442,14.083,14.725
1996,3,7.949,8.559,9.170,9.780,10.391,11.001,11.611,12.222
1996,4,4.336,5.055,5.773,6.491,7.209,7.927,8.646,9.364
1996,5,-0.296,0.563,1.422,2.281,3.140,4.000,4.859,5.718
1996,6,-3.614,-2.523,-1.432,-0.341,0.750,1.841,2.931,4.022
1996,7,-2.712,-2.105,-1.497,-0.889,-0.281,0.326,0.934,1.542
1996,8,-5.362,-3.826,-2.290,-0.754,0.782,2.319,3.855,5.391
1996,9,-2.583,-1.354,-0.125,1.104,2.332,3.561,4.790,6.019
1996,10,0.904,2.118,3.333,4.547,5.762,6.976,8.190,9.405
1996,11,2.330,3.566,4.802,6.038,7.274,8.511,9.747,10.983
1996,12,7.127,8.174,9.220,10.266,11.312,12.358,13.404,14.450
1997,1,9.477,10.430,11.383,12.336,13.289,14.241,15.194,16.147
1997,2,10.723,11.395,12.067,12.739,13.412,14.084,14.756,15.429
1997,3,9.791,10.542,11.294,12.046,12.798,13.550,14.302,15.054
1997,4,5.275,6.149,7.022,7.896,8.769,9.643,10.517,11.390
1997,5,-0.265,0.504,1.273,2.042,2.810,3.579,4.348,5.117
1997,6,-3.841,-2.682,-1.522,-0.363,0.797,1.956,3.116,4.276
1997,7,-2.120,-1.645,-1.170,-0.695,-0.220,0.255,0.730,1.205
1997,8,-4.004,-2.857,-1.710,-0.563,0.584,1.731,2.878,4.026
1997,9,-2.790,-1.463,-0.135,1.192,2.520,3.847,5.175,6.502
1997,10,0.626,1.467,2.309,3.150,3.991,4.832,5.673,6.514
1997,11,2.403,3.678,4.953,6.228,7.503,8.779,10.054,11.329
1997,12,4.588,5.261,5.935,6.608,7.281,7.955,8.628,9.302
1998,1,7.170,7.891,8.612,9.333,10.053,10.774,11.495,12.216
1998,2,11.237,11.942,12.646,13.351,14.055,14.760,15.465,16.169
1998,3,8.050,8.668,9.286,9.904,10.522,11.140,11.759,12.377
1998,4,4.833,5.634,6.434,7.235,8.036,8.836,9.637,10.437
1998,5,-0.480,0.913,2.307,3.700,5.094,6.488,7.881,9.275
1998,6,-2.387,-1.666,-0.946,-0.225,0.495,1.216,1.936,2.657
1998,7,-1.824,-1.416,-1.007,-0.598,-0.189,0.220,0.628,1.037
1998,8,-3.842,-2.742,-1.641,-0.540,0.561,1.661,2.762,3.863
1998,9,-1.974,-1.035,-0.096,0.843,1.782,2.721,3.660,4.599
1998,10,0.924,2.164,3.405,4.646,5.886,7.127,8.367,9.608
1998,11,2.766,4.234,5.702,7.170,8.638,10.105,11.573,13.041
1998,12,7.206,8.264,9.322,10.380,11.437,12.495,13.553,14.610
1999,1,9.638,10.607,11.576,12.545,13.514,14.483,15.452,16.421
