Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Caudal_Remanente_mensual,segundosdelmes_recorder
1987-08,0.032258,900.7244619798046,827.1452728875994,1074.9187811056463,617.1026271230095,9082.368221981153,141.15937988159996,10655.990856,2201.0183799225306,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,22860976.330950007,1.574074074074074e-05
1987-09,0.033333,823.3807025322327,1090.7742497179495,1417.5185005591807,751.7616106163322,9185.157266692586,211.73906982239993,10655.990856000002,2200.9259040845714,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,22196217.972225003,1.574074074074074e-05
1987-10,0.032258,1010.1467983426775,1034.6416496247125,1344.5712347640554,723.0896529268831,10569.513695087062,369.499536,10655.990856,2200.8216412659576,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,19540103.838499997,1.574074074074074e-05
1987-11,0.033333,1803.350141971021,1485.8571312,1930.9494821760002,817.34220288,12385.390940462003,369.499536,10655.990856,2200.609549485857,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,31230456.34209431,1.574074074074074e-05
1987-12,0.032258,1929.8896985615572,1600.1538335999999,2079.484057728,817.34220288,12385.390940462003,369.499536,10655.990856,2200.4137809700874,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,18529568.194577925,1.574074074074074e-05
1988-01,0.032258,2010.8720854792223,1600.1538335999999,2079.484057728,817.34220288,12385.390940462004,369.499536,9504.650615806098,1962.4638702682887,782.253231546421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,14929404.913001135,1.574074074074074e-05
1988-02,0.035714,2010.872085479222,1600.1538335999999,2079.484057728,817.34220288,8369.324194503417,369.499536,5288.018969279686,1091.4870692803477,327.79131909909637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069204,6021401.417676884,1.574074074074074e-05
1988-03,0.032258,2010.8720854792211,1600.1538335999999,2079.484057728,817.34220288,5663.668585860257,369.499536,3733.0077262197096,770.4515658963172,242.38965093959484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,4484554.171043761,1.574074074074074e-05
1988-04,0.033333,1992.9354248554857,1600.1538335999999,2079.484057728,817.34220288,5162.4656786690175,282.3187597632,3955.484822737067,816.6713321278701,330.5696103085504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,6319978.200874474,1.574074074074074e-05
1988-05,0.032258,1941.6923638801438,1600.1538335999999,2079.484057728,817.34220288,5210.324005133307,141.1593798816,4716.06622183899,974.0016230083896,480.7059361958489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,9376469.969219422,1.574074074074074e-05
1988-06,0.033333,1027.958502043884,1185.044395660213,1540.0275128118317,684.826897235752,6220.87400217612,141.1593798816,6290.035357035553,1299.240916852775,662.0626974860326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,12950741.715889841,1.574074074074074e-05
1988-07,0.032258,920.1709143156263,1147.7873968960141,1491.6100835983914,712.0728595273745,7845.972392904909,141.1593798816,8259.59438340525,1706.067201825452,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,17421627.379774176,1.574074074074074e-05
1988-08,0.032258,797.3089361477857,1102.3978183502545,1432.623939272161,755.5503681609881,8169.942886522859,141.1593798816,9508.9193139249,1964.0535565082505,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,20256811.676449023,1.574074074074074e-05
1988-09,0.033333,703.6856944972967,1067.3682264496847,1387.101142415767,708.2255075816234,7275.297984480985,211.73906982239993,7767.357430301309,1604.1849995103187,800.8989689866776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,15638233.756692866,1.574074074074074e-05
1988-10,0.032258,818.099699734862,1111.0915961044493,1443.921960663395,683.8050372965124,8059.670092886713,369.499536,6734.776252837771,1390.7676106979159,557.0805585148771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,10637879.262520075,1.574074074074074e-05
1988-11,0.033333,1803.254234816737,1485.8571312000001,1930.9494821760004,817.34220288,12385.390940462003,369.499536,10655.990856000004,2200.6095494858578,850.4752032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7368.5445582473985,20330835.32769432,1.574074074074074e-05
1988-12,0.032258,1913.5464277256813,1600.1538335999996,2079.4840577279997,817.3422028799997,9478.081392243106,369.499536,5986.937869522377,1235.8694819710367,377.09675898237737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,6944374.067919028,1.574074074074074e-05
1989-01,0.032258,1959.5703428734191,1600.1538335999999,2079.484057728,817.34220288,6935.612148274526,369.499536,3442.5232015343922,710.1348746076922,83.94175743695615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,1166725.4599228627,1.574074074074074e-05
1989-02,0.035714,1988.93353342797,1600.1538336,2079.4840577280006,817.34220288,5745.711430850151,369.499536,2635.7372874398075,543.5722816419599,22.26842186687994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11016.487177069212,0.0,1.574074074074074e-05
1989-03,0.032258,1958.1395992522391,1553.801377425192,2019.2466032857644,817.34220288,4285.339299886345,369.499536,2271.1207132493146,468.4513983623213,73.99126449105094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3814.354270741598,1165672.6990437624,1.574074074074074e-05
1989-04,0.033333,1577.747881488701,864.7109771333758,1123.737389327001,462.355713119891,3234.6749726288435,282.3187597632,10655.990855999997,2200.8781324169795,850.4752032000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,22166196.017475,1.574074074074074e-05
