Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,ProduccionBase_recorder,dolar_recorder,mil_recorder,BeneficiosTotales,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,EficienciaAplicacionGarzasySuizas,uno_recorder,TasaDeDescuento,BeneficioMgHe_recorder
2022-04,0.033333,125.17977199052162,424.34365216536025,551.4568919231332,247.69964129379852,1233.3155377809385,282.3187597632,10286.340964088025,2200.87813241698,850.4752032000002,-540.0615512,760.3,1000.0,0.0,172382.89322000148,0.0,0.0,0.0,0.0,0.0,0.0,3274.9086925543997,257109.35167596198,22166196.017475,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,60.34939391
2022-05,0.032258,140.30213030206556,662.9362713768265,861.5205480064876,381.36183304083477,1840.9818282181302,141.15937988159996,492.4283877248816,120.79384036487993,4.948538192639972,-149.8846279,760.3,1000.0,0.0,52078.98420174013,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,175657.80191255588,-7.021299097687006e-10,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,60.34939391
2022-06,0.033333,330.8012750504879,819.3764143018687,1064.8227408146797,552.3708190352183,2847.64828897493,141.15937988159996,5429.019059617887,1301.285480095228,663.2027668900745,-438.3184909,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.4543462771999,53350.435625320664,12973210.786417572,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,60.34939391
2022-07,0.032258,375.16820593649754,719.680779993866,935.2630211081331,525.416842401112,2785.8632656681502,141.15937988159996,478.9292773604877,120.79384036488024,4.948538192640137,-196.36164440000002,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,1637.4543462771999,2.557499101385474e-09,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,52.713676
2022-08,0.032258,540.9842763552481,766.9591916491615,996.7038033926098,586.3601927462679,3225.5643173050357,141.15937988159996,515.5510630935543,120.79384036488038,4.948538192640231,-222.54873560000001,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.4514235805327,1271.4514235805327,4.420144250616431e-09,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,52.713676
2022-09,0.033333,589.909700546496,807.9050121798338,1049.915050484125,607.2748988504778,3518.60143454071,211.73906982239993,824.6304804728371,181.19076054731988,7.4228072889599686,-259.9503743,760.3,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2456.1815194158007,1271.4514235805327,-6.875779945403337e-10,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,52.713676
2022-10,0.032258,434.1611792841839,747.2408143474806,971.0787351134803,535.3179964646231,2915.0877824526,369.499536,2000.4858353958507,422.7784412770802,17.319883674239957,-271.38559280000004,760.3,1000.0,0.0,170946.85590609044,0.0,0.0,0.0,0.0,0.0,0.0,4450.079982531875,2456.1815194158007,-9.531504474580288e-10,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,48.34343936
2022-11,0.033333,315.45354627230404,920.0636900344801,1195.671150702231,566.8022974311937,5283.163258497347,369.499536,2583.5167986234296,543.5722816419601,22.26842186688,-393.329766,760.3,1000.0,0.0,351745.27294500323,0.0,0.0,0.0,0.0,0.0,0.0,7368.544558247406,175396.9358886223,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,48.34343936
2022-12,0.032258,338.84850317931364,928.9622597998322,1207.2353100818316,581.7367936227456,6730.603578173695,369.499536,2887.8612579558476,603.9692018243999,24.742690963200005,-441.0784447,760.3,1000.0,0.0,379575.5130087007,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,359113.81750325067,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.8396192830323018,48.34343936
2023-01,0.032258,201.9900336075072,876.9063981752637,1139.5859803195506,496.80744643998696,5616.375848367712,369.499536,2928.6088566104327,603.9692018243999,24.742690963200005,-395.4342411,760.3,1000.0,0.0,432299.3850087007,0.0,0.0,0.0,0.0,0.0,0.0,6357.257117902671,385932.77012660337,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9999,0.7920936632380204,62.23045539
