Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
Dec-24,0.032258,185.3391627,870.5730274,1131.355432,485.4746076,4050.81764,369.499536,2928.10906,603.9692018,24.74269096,386165.7242,0,0,0,0,0,0,3727.637341,344813.2806,0,1.57E-05,0,0,0,0,0,0,0.9999,0.077009079,6349145716
Jan-25,0.032258,147.2971288,856.1032554,1112.551202,467.3831271,2966.080913,369.499536,2882.018794,603.9692018,24.74269096,396316.0826,0,0,0,0,0,0,3727.637341,389893.3616,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6313828522
Feb-25,0.035714,135.9044013,781.2359645,1015.257221,426.6533606,1951.16601,369.499536,2532.817575,543.5722816,22.26842187,396206.9337,0,0,0,0,0,0,8396.274621,400043.72,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6295947162
Mar-25,0.032258,102.9802802,480.1726753,624.0096435,266.0018981,1259.919703,369.499536,1640.088226,362.3815211,14.84561458,234826.2851,0,0,0,0,0,0,2236.582405,404603.2083,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6290242157
Apr-25,0.033333,185.9376465,626.2601399,813.8579864,387.461621,1988.303485,282.3187598,6507.677687,1481.089306,701.0558772,69874.69744,0,0,0,0,0,0,2188.00788,237062.8675,13621710.91,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6304647838
May-25,0.032258,140.5204892,596.0096498,774.5458837,354.1125213,1769.034181,141.1593799,479.0675183,120.7938404,4.948538193,20169.03797,0,0,0,0,0,0,745.5274682,72062.70532,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6695174440
Jun-25,0.033333,136.0511425,492.9096486,640.5620102,292.9115942,1461.681001,141.1593799,491.9280637,120.7938404,4.948538193,36097.61432,0,0,0,0,0,0,1094.00394,20914.56543,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6816462925
Jul-25,0.032258,157.4092512,430.2884635,559.1824869,268.561937,1360.240468,141.1593799,500.3879436,120.7938404,4.948538193,25685.76437,0,0,0,0,0,0,745.5274682,37191.61826,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6685284136
Aug-25,0.032258,226.5158494,438.874603,570.3406268,311.2021834,1643.328954,141.1593799,508.973725,120.7938404,4.948538193,0,0,0,0,0,0,0,745.5274682,26431.29183,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6767870269
Sep-25,0.033333,227.1423793,380.0272488,493.8653952,282.3768681,1504.564531,211.7390698,783.2874708,181.1907605,7.422807289,31798.11108,0,0,0,0,0,0,1641.00591,745.5274682,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6994116671
Oct-25,0.032258,238.052814,583.9795951,758.912195,390.7253929,2007.832531,369.499536,1844.794201,422.7784413,17.31988367,218964.2793,0,0,0,0,0,0,2609.346139,33439.11699,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6812284702
Nov-25,0.033333,290.1108877,910.4242871,1183.14424,572.6891073,3252.46769,369.499536,2320.271206,543.5722816,22.26842187,266995.1012,0,0,0,0,0,0,4923.01773,221573.6254,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6443062348
Dec-25,0.032258,212.7687518,881.0062209,1144.913916,519.5343275,3674.751823,369.499536,2522.652759,603.9692018,24.74269096,359956.3706,0,0,0,0,0,0,3727.637341,271918.119,0,1.57E-05,0,0,0,0,0,0,0.9999,0.072650074,6487228142
Jan-26,0.032258,159.5332426,860.7574171,1118.59953,477.4979315,2525.318969,369.499536,1436.769079,358.681859,24.74269096,425485.4138,0,0,554511.5423,1554573.351,0,0,52284.43734,363684.008,0,1.57E-05,0,0,0,0,0,0,0.9999,0.068537806,6360000182
Feb-26,0.035714,149.705087,673.8915496,875.7575081,375.5804682,1791.987859,369.499536,767.5326013,193.0119588,0,423963.2793,97020.6985,62639.96881,1645935.843,1727443.482,0,0,52097.39462,2586854.744,0,1.57E-05,1,0,0,1,0,0,0.9999,0.068537806,5035005240
Mar-26,0.032258,114.3599863,432.9510117,562.6426083,244.0265924,1180.746439,369.499536,512.1069138,128.6746392,0,255291.2483,58421.41629,37718.91721,991107.0995,932744.0103,0,0,31370.6624,4009100.667,0,1.57E-05,0,0,0,0,1,1,0.9999,0.068537806,4240613815
Apr-26,0.033333,114.2468002,376.4750597,489.2491386,218.0497793,1091.028022,282.3187598,732.7862447,184.6948071,9.897076385,175865.8974,-7.28E-12,0,-1.05E-09,667219.2614,0,0,21610.72788,2306653.354,0,1.57E-05,0,0,0,0,0,0,0.9999,0.068537806,4339161188
May-26,0.032258,212.915493,757.8730204,984.895846,473.6580622,2395.647969,141.1593799,479.0675183,120.7938404,4.948538193,0,-1.13E-10,0,-2.68E-09,-1.16E-10,0,2.91E-10,745.5274682,864695.8867,0,1.57E-05,0,0,0,1,1,1,0.9999,0.068537806,5321155358
Jun-26,0.033333,230.4908836,589.3520631,765.8939997,390.739769,2019.281631,141.1593799,4093.072828,983.9200919,486.236576,0,-3.53E-10,0,1.40E-09,-1.16E-10,0,1.75E-10,1094.00394,745.5274682,9485470.646,1.57E-05,1,0,0,0,0,0,0.9999,0.068537806,6994116671
Jul-26,0.032258,269.5270518,586.3357702,761.9741683,402.0405937,2086.849089,141.1593799,478.9292774,120.7938404,4.948538193,0,-1.13E-10,0,-3.49E-10,0,0,2.91E-10,745.5274682,1094.00394,0,1.57E-05,0,0,0,0,0,0,0.9999,0.068537806,6992986421
Aug-26,0.032258,326.0164096,536.8252578,697.6326538,400.3450756,2096.903978,141.1593799,503.5260073,120.7938404,4.948538193,0,-1.13E-10,0,2.15E-09,0,0,-6.40E-10,745.5274682,745.5274682,0,1.57E-05,0,0,0,0,0,0,0.9999,0.068537806,6994116671
