Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
2029-07,0.032258,167.3065204381296,424.36170326131145,551.4803502716162,270.979372546022,1375.2567146299493,141.15937988159996,478.92927736048676,120.79384036488001,4.948538192640001,26075.169166225292,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,8178.930261173236,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,6932593288.119697
2029-08,0.032258,190.9594013236272,393.9966695752016,512.0193921207491,266.34006998614007,1368.6518685626752,141.15937988159996,489.7270801715891,120.79384036488001,4.948538192640001,18841.24276622529,0.0,0.0,0.0,0.0,0.0,0.0,745.5274682008312,26820.696634426124,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,6764440298.116121
2029-09,0.033333,305.44459343719194,481.712319738946,626.0104924128909,371.4388823288396,1981.7268246782178,211.7390698223999,3840.4125511144402,928.4702299075299,424.11349290660206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641.00591004735,19586.77023442612,8212353.0113154845,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,6828158464.814103
2029-10,0.032258,252.3893806505808,602.6844409760886,783.22012579934,408.55911869397335,2189.58304137299,369.499536,1675.2603886564511,422.7784412770801,17.319883674240003,297839.7896817884,0.0,0.0,0.0,687854.7831289193,0.0,0.0,36599.10613870291,1641.00591004735,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,6992986421.042643
2029-11,0.033333,185.13833258194563,870.4966391046719,1131.2561613225946,497.27167735069435,3232.53483987802,369.499536,1965.4901221454513,495.90029246524807,22.26842186688,395698.2692451373,0.0,0.0,0.0,1501243.3381307442,0.0,0.0,48624.13773014205,1022293.6789494107,0.0,1.574074074074074e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,5668740815.233827
2029-12,0.032258,210.61671424722715,880.1876660066641,1143.850160426023,513.528905673907,3283.354005978653,369.499536,1984.6264400851774,500.5398026493701,24.742690963200005,425485.4138311264,0.0,0.0,0.0,1554573.3505808914,0.0,0.0,52284.43734100416,1945565.7451060235,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.05754566352569215,5321155358.279441
2030-01,0.032258,141.96937093194234,809.0248071083428,1051.37028288295,445.872033637555,2099.401981369907,369.499536,852.8237065276013,214.4577319956,0.0,425485.4138311264,97369.02715790029,62864.862020327535,1651845.165779894,1747573.1521808917,0.0,0.0,52284.43734100416,2032343.201753022,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0542883618166907,5353998438.085687
2030-02,0.035714,132.390124453224,569.1407172399814,739.628292763427,317.868324426267,1524.0151497311897,369.499536,696.6324678553511,175.0972321537876,0.0,423963.2792674177,97020.6985034883,62639.968813149586,1645935.8430651876,1856234.0008372667,0.0,0.0,52097.394620775005,4037422.0583111444,0.0,1.574074074074074e-05,0.0,0.0,0.0,1.0,1.0,1.0,0.9999,0.0542883618166907,4232949082.5506477
2030-03,0.032258,102.9176772958224,379.377861391367,493.0214820930144,214.6622114964871,1046.879306095683,265.26970447375845,512.1069138087045,128.67463919735997,0.0,255291.2482986758,58421.41629474017,37718.917212196524,991107.0994679363,932744.0103485351,0.0,0.0,31370.662404602495,4137891.1851072847,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0542883618166907,4169483049.6076283
2030-04,0.033333,98.118788826168,321.2313487485996,417.45703102952973,185.42132287541932,935.1671765772767,282.31875976319986,535.9288491895257,134.9537662470885,9.897076385280005,175865.8974422833,0.0,0.0,337444.4869898606,667219.2613914418,0.0,0.0,21610.727880063136,2306653.354026687,0.0,1.574074074074074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0542883618166907,4339161188.380587
